Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword
samsung j2,1,1,246000,38,0.06,https://www.gsmarena.com/samsung_galaxy_j2-7357.php,115620,0.28,6937,1,79,"[37,67,82,100,100,82,67,55,45,45,37,37]",5/27/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
samsung m20,1,1,246000,43,0.03,https://www.gsmarena.com/samsung_galaxy_m20-9506.php,115620,0.28,3468,1,92,"[30,55,82,100,67,55,45,37,30,30,25,25]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
vivo y 15,2,4,823000,50,0.07,https://www.gsmarena.com/vivo_y15-9719.php,106990,0.26,7489,1,92,"[25,55,82,82,100,67,45,37,30,30,20,20]",5/27/2021,"Image pack, Reviews, Video, Shopping ads, People also ask"
infinix hot 9 pro,1,2,201000,41,0.07,https://www.gsmarena.com/infinix_hot_9_pro-10272.php,94470,0.23,6612,1,72,"[1,24,100,100,82,67,55,37,20,16,11,9]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
samsung note 10,1,1,201000,59,0.09,https://www.gsmarena.com/samsung_galaxy_note10-9788.php,94470,0.23,8502,1,78,"[3,100,45,37,45,37,30,55,67,37,11,30]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
nokia 6.1 plus,1,1,201000,54,0.05,https://www.gsmarena.com/nokia_6_1_plus_(nokia_x6)-9178.php,94470,0.23,4723,1,88,"[37,67,100,100,67,82,67,55,55,55,45,45]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
realme x7,1,0,201000,43,0.03,https://www.gsmarena.com/realme_x7_max_5g-10883.php,94470,0.23,2834,1,63,"[0,0,0,0,5,5,5,14,9,25,100,45]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
oneplus 6,1,2,201000,64,0.09,https://www.gsmarena.com/oneplus_6-9109.php,94470,0.23,8502,1,95,"[45,82,100,100,82,67,67,67,67,67,55,55]",5/27/2021,"Top stories, Image pack, Reviews, Video, Shopping ads, Video Carousel, People also ask, FAQ"
pixel 4a,1,3,201000,64,0.02,https://www.gsmarena.com/google_pixel_4a-10123.php,94470,0.23,1889,1,99,"[7,16,13,25,100,37,67,30,25,16,13,13]",5/27/2021,"Top stories, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
google pixel 4a,1,4,201000,60,0.1,https://www.gsmarena.com/google_pixel_4a-10123.php,94470,0.23,9447,1,90,"[4,11,9,20,100,37,82,37,30,25,20,20]",5/27/2021,"Top stories, Image pack, Reviews, Video Carousel, People also ask"
samsung s10,1,1,201000,66,0.22,https://www.gsmarena.com/samsung_galaxy_s10-9536.php,94470,0.23,20783,1,84,"[45,67,100,100,82,67,67,55,55,55,37,37]",5/26/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
iphone 5s,1,1,201000,53,0.08,https://www.gsmarena.com/apple_iphone_5s-5685.php,94470,0.23,7557,1,100,"[55,67,82,100,100,82,100,82,82,82,55,67]",5/27/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
vivo z1 pro,2,2,673000,55,0.07,https://www.gsmarena.com/vivo_z1pro-9743.php,87490,0.21,6124,1,69,"[45,82,100,100,82,67,67,45,37,37,25,25]",5/27/2021,"Image pack, Reviews, Video, Shopping ads, Video Carousel, People also ask"
vivo y91,2,2,673000,46,0.01,https://www.gsmarena.com/vivo_y91-9480.php,87490,0.21,874,1,5480000,"[45,82,100,82,100,82,67,55,55,55,37,30]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
redmi note 9 pro,2,3,3350000,68,0.02,https://www.gsmarena.com/xiaomi_redmi_note_9_pro-10217.php,87100,0.21,1742,1,66,"[37,100,100,100,100,100,100,100,82,82,55,55]",5/27/2021,"Top stories, Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
poco x3,2,2,673000,53,0.03,https://www.gsmarena.com/xiaomi_poco_x3-10461.php,87490,0.21,2624,1,87,"[0,1,1,1,11,100,100,67,82,100,67,82]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
iphone xr,2,2,673000,63,0.1,https://www.gsmarena.com/apple_iphone_xr-9320.php,87490,0.21,8749,1,433000000,"[45,67,67,82,82,67,100,82,82,67,55,55]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
note 8 pro,1,1,165000,58,0.08,https://www.gsmarena.com/xiaomi_redmi_note_8_pro-9812.php,77550,0.19,6204,1,74,"[45,82,100,67,55,37,30,20,16,16,13,13]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
realme c15,1,1,165000,56,0.02,https://www.gsmarena.com/realme_c15-10326.php,77550,0.19,1551,1,67,"[0,0,0,0,0,0,7,100,67,82,100,55]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
iphone se 2020,1,2,165000,63,3.13,https://www.gsmarena.com/apple_iphone_se_(2020)-10170.php,77550,0.19,242731,1,2420000000,"[55,82,45,55,55,45,82,100,55,55,82,55]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
samsung s20 ultra,1,1,165000,63,0.14,https://www.gsmarena.com/samsung_galaxy_s20_ultra_5g-10040.php,77550,0.19,10857,1,129000000,"[45,82,82,82,100,55,55,45,45,45,30,30]",5/26/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
iphone xs max,1,1,165000,56,1.02,https://www.gsmarena.com/apple_iphone_xs_max-9319.php,77550,0.19,79101,1,298000000,"[55,67,82,100,82,82,82,82,82,67,55,67]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
redmi 5i,1,2,165000,44,0.01,https://www.gsmarena.com/realme_5i-10010.php,77550,0.19,775,1,84,"[45,82,82,82,100,67,45,25,20,20,13,13]",5/26/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
m31,1,2,165000,50,0.05,https://www.gsmarena.com/samsung_galaxy_m31-10079.php,77550,0.19,3877,0.76,92,"[25,45,100,100,82,55,55,45,37,30,20,20]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
samsung a30,1,1,165000,48,0.04,https://www.gsmarena.com/samsung_galaxy_a30-9579.php,77550,0.19,3102,1,83,"[24,30,55,100,55,55,24,30,45,82,24,24]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
iphone xs,1,1,165000,64,0.1,https://www.gsmarena.com/apple_iphone_xs-9318.php,77550,0.19,7755,1,88,"[55,67,82,100,82,67,82,67,67,67,55,67]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
vivo y15,3,2,823000,51,0.07,https://www.gsmarena.com/vivo_y15-9719.php,74070,0.18,5184,1,92,"[25,55,82,82,100,67,45,37,30,30,20,20]",5/27/2021,"Image pack, Reviews, Video, Shopping ads, Video Carousel, People also ask"
1 plus,3,3,823000,66,0.02,https://www.gsmarena.com/oneplus-phones-95.php,74070,0.18,1481,1,9080000000,"[5,7,100,55,45,45,67,67,55,67,6,55]",5/27/2021,"Knowledge panel, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
vivo y50,2,2,550000,44,0.07,https://www.gsmarena.com/vivo_y50-10174.php,71500,0.17,5005,1,3730000,"[3,2,55,67,82,82,82,100,67,55,45,30]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
poco m2,2,4,550000,53,0.01,https://www.gsmarena.com/xiaomi_poco_m2-10434.php,71500,0.17,715,1,71,"[0,1,1,20,14,82,100,67,55,82,67,55]",5/26/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
vivo v9,2,1,550000,47,0.07,https://www.gsmarena.com/vivo_v9-9117.php,71500,0.17,5005,1,82,"[55,100,100,100,100,82,82,67,55,55,45,45]",5/26/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
k20 pro,2,2,500000,57,0.01,https://www.gsmarena.com/xiaomi_redmi_k20_pro-9708.php,65000,0.16,650,1,98,"[10,100,100,100,100,100,100,100,10,10,10,10]",5/27/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
oppo a37,1,1,135000,37,0.07,https://www.gsmarena.com/oppo_a37-8162.php,63450,0.15,4441,1,100,"[37,55,67,82,82,100,82,82,82,82,67,67]",5/27/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
samsung j7 prime,1,1,135000,49,0.06,https://www.gsmarena.com/samsung_galaxy_j7_prime-8314.php,63450,0.15,3807,1,82,"[37,67,82,82,100,82,82,55,55,55,45,45]",5/27/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
oppo a31,3,3,673000,49,0.08,https://www.gsmarena.com/oppo_a31-10083.php,60570,0.15,4845,1,84,"[11,37,67,100,81,45,37,30,30,25,25,20]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
samsung j6,1,1,135000,47,0.06,https://www.gsmarena.com/samsung_galaxy_j6-9203.php,63450,0.15,3807,1,74,"[37,55,82,100,82,82,67,55,55,55,37,37]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
samsung a 50s,1,1,135000,52,0.05,https://www.gsmarena.com/samsung_galaxy_a50s-9806.php,63450,0.15,3172,1,97,"[37,82,100,82,67,55,100,45,37,30,25,25]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
asus rog phone 3,1,2,135000,54,0.06,https://www.gsmarena.com/asus_rog_phone_3-10296.php,63450,0.15,3807,1,88,"[1,3,7,100,67,37,30,20,24,30,16,16]",5/27/2021,"Top stories, Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
samsung a50s,1,1,135000,48,0.05,https://www.gsmarena.com/samsung_galaxy_a50s-9806.php,63450,0.15,3172,1,36000000,"[37,82,100,82,67,55,100,45,37,30,25,25]",5/27/2021,"Reviews, Shopping ads, Video Carousel, People also ask"
mi note 5 pro,1,1,135000,50,0.01,https://www.gsmarena.com/xiaomi_redmi_note_5_pro-8893.php,63450,0.15,634,1,86,"[45,82,100,100,100,82,67,55,55,55,37,37]",5/27/2021,"Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
vivo v5,1,1,135000,41,0.07,https://www.gsmarena.com/vivo_v5-8430.php,63450,0.15,4441,1,72,"[37,67,82,100,100,82,67,55,55,55,45,37]",5/26/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
vivo y81,1,1,135000,37,0.07,https://www.gsmarena.com/vivo_y81-9250.php,63450,0.15,4441,1,2540000,"[45,82,100,100,100,82,67,55,55,55,45,45]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
vivo v19 pro,1,2,135000,48,0.06,https://www.gsmarena.com/vivo_v19-10134.php,63450,0.15,3807,1,82,"[30,100,82,67,67,67,45,30,25,20,16,16]",5/27/2021,"Image pack, Reviews, Video Carousel, People also ask, FAQ"
samsung s9,1,1,135000,52,0.08,https://www.gsmarena.com/samsung_galaxy_s9-8966.php,63450,0.15,5076,1,89,"[45,100,100,100,67,55,45,37,37,37,45,37]",5/26/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
oppo f5,1,1,135000,41,0.04,https://www.gsmarena.com/oppo_f5-8889.php,63450,0.15,2538,1,73,"[55,82,82,100,100,100,82,67,55,67,45,45]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, FAQ"
oneplus 5,1,1,135000,51,0.01,https://www.gsmarena.com/oneplus_5-8647.php,63450,0.15,634,1,248000000,"[45,67,100,100,100,100,100,67,67,67,55,55]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
6 iphone,2,2,450000,62,0.09,https://www.gsmarena.com/apple_iphone_6-6378.php,58500,0.14,5265,1,3050000000,"[55,67,82,100,82,82,82,67,82,82,67,67]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
vivo v15,2,2,450000,52,0.07,https://www.gsmarena.com/vivo_v15-9614.php,58500,0.14,4095,1,78,"[55,82,100,100,100,82,67,55,55,55,37,45]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
realme x,2,2,450000,50,0.02,https://www.gsmarena.com/realme_x-9700.php,58500,0.14,1170,1,76,"[55,100,100,100,100,82,82,67,55,55,45,45]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
iphone se,4,4,823000,73,3.12,https://www.gsmarena.com/apple_iphone_se-7969.php,57610,0.14,179743,1,3540000000,"[45,82,100,55,45,45,55,30,25,25,20,20]",5/26/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
vivo y11,2,3,450000,45,0.07,https://www.gsmarena.com/vivo_y11_(2019)-9925.php,58500,0.14,4095,1,12300000,"[30,67,100,100,100,82,67,82,82,82,45,37]",5/27/2021,"Knowledge panel, Image pack, Reviews, Shopping ads, Video Carousel, People also ask, FAQ"
mobile,11,11,1220000,66,0.03,https://www.gsmarena.com/,57340,0.14,1720,1,9030000000,"[55,67,81,81,81,81,100,81,81,81,67,67]",5/27/2021,"Top stories, Image pack, Site links, Reviews, Shopping ads, Video Carousel, People also ask"
iphone,6,6,1000000,70,4.01,https://www.gsmarena.com/apple-phones-48.php,50000,0.12,200500,1,83,"[45,55,67,81,81,81,81,100,81,81,67,55]",5/27/2021,"Top stories, Image pack, Site links, Reviews, AdWords top, Video Carousel, People also ask, FAQ"
samsung galaxy a50,1,1,110000,56,0.08,https://www.gsmarena.com/samsung_galaxy_a50-9554.php,51700,0.12,4136,1,90,"[45,82,100,100,82,67,67,45,37,37,30,30]",5/27/2021,"Image pack, Reviews, Shopping ads, Video Carousel, People also ask"
