#,Traffic (desc),Traffic (Percent %),# of Keywords,Referring Domains,URL,Top Keyword,Its Volume,Position,Page URL inside,Traffic value
106,7233,0.14,425,172,https://www.gsmarena.com/motorola_moto_z2_force-8693.php,moto z2 force,8400,1,,1700
107,7165,0.14,83,331,https://www.gsmarena.com/samsung_galaxy_s20+-10080.php,galaxy s20 plus,12000,5,,2
108,7132,0.14,433,268,https://www.gsmarena.com/oneplus_3-7995.php,oneplus 3,6900,1,,2637
109,7045,0.14,28,145,https://www.gsmarena.com/huawei_y9_(2019)-9324.php,y9,9600,1,,1370
110,6966,0.13,78,334,https://www.gsmarena.com/samsung_galaxy_z_fold2_5g-10342.php,galaxy fold 2,76000,8,,135
111,6907,0.13,45,22,https://www.gsmarena.com/lg_stylo_6-reviews-10255.php,lg stylo 6,255000,8,,10359
112,6793,0.13,893,355,https://www.gsmarena.com/motorola_nexus_6-6604.php,nexus 6,5600,1,,3362
113,6693,0.13,51,164,https://www.gsmarena.com/huawei_p20-9107.php,huawei p20,14000,1,,151
114,6608,0.13,505,104,https://www.gsmarena.com/samsung_galaxy_s8_active-8676.php,s8 active,9200,1,,10479
115,6595,0.13,210,118,https://www.gsmarena.com/motorola_moto_g5-8454.php,moto g5,9400,1,,4728
116,6579,0.13,1079,547,https://www.gsmarena.com/samsung_galaxy_note_3-5665.php,galaxy note 3,3200,1,,9277
117,6529,0.13,2178,938,https://www.gsmarena.com/apple_iphone_6-6378.php,iphone 6,70000,4,,17148
118,6521,0.13,161,256,https://www.gsmarena.com/huawei_p9-7972.php,huawei p9,14000,1,,2125
119,6491,0.13,711,727,https://www.gsmarena.com/search.php3,gsmarena,112000,1,Sitelinks,15224
120,6317,0.12,53,329,https://www.gsmarena.com/apple_iphone_12_mini-10510.php,iphone 12 mini,244000,11,,160
121,6271,0.12,1925,546,https://www.gsmarena.com/apple_iphone_6_plus-6665.php,iphone 6 plus,27000,4,,16631
122,6256,0.12,57,412,https://www.gsmarena.com/xiaomi_pocophone_f1-9293.php,pocophone f1,8200,1,,8
123,6153,0.12,86,61,https://www.gsmarena.com/motorola_moto_e5-9008.php,moto e5,11000,1,,3148
124,6122,0.12,39,40,https://www.gsmarena.com/motorola_moto_g_stylus_(2021)-10583.php,moto g stylus,50000,6,,842
125,6111,0.12,77,280,https://www.gsmarena.com/huawei_mate_20_pro-9343.php,huawei mate 20 pro,14000,1,,20
126,6061,0.12,83,360,https://www.gsmarena.com/huawei_p20_pro-9106.php,huawei p20 pro,17000,1,,68
127,6043,0.12,95,150,https://www.gsmarena.com/motorola_moto_g_stylus-10057.php,moto g stylus,50000,7,,647
128,5907,0.11,8,273,https://www.gsmarena.com/xiaomi_mi_note_10-9936.php,xiaomi mi note 10,16000,1,,0
129,5886,0.11,190,119,https://www.gsmarena.com/motorola_moto_g_power-10076.php,moto g power,55000,8,,243
130,5861,0.11,41,210,https://www.gsmarena.com/samsung_galaxy_a30-9579.php,samsung a30,10000,1,,20140
131,5774,0.11,39,256,https://www.gsmarena.com/samsung_galaxy_a10s-9793.php,samsung a10,41000,3,,7888
132,5718,0.11,1031,841,https://www.gsmarena.com/samsung_i9500_galaxy_s4-5125.php,samsung galaxy s4 specs,1100,1,,4934
133,5712,0.11,49,108,https://www.gsmarena.com/motorola_moto_g7_play-9532.php,moto g7 play,32000,3,,2
134,5686,0.11,391,490,https://www.gsmarena.com/apple_iphone_11_pro_max-9846.php,iphone 11 pro max specs,8800,2,,8
135,5610,0.11,44,202,https://www.gsmarena.com/samsung_galaxy_note20_ultra-10355.php,note 20 ultra,84000,9,,0
136,5598,0.11,6,267,https://www.gsmarena.com/xiaomi_mi_10_5g-10082.php,xiaomi mi 10,28000,1,,0
137,5571,0.11,186,260,https://www.gsmarena.com/oneplus_5t-8912.php,oneplus 5t,22000,2,,5721
138,5524,0.11,7,81,https://www.gsmarena.com/sony_xperia_5_iii-10851.php,sony xperia 5,29000,2,,2007
139,5486,0.11,639,164,https://www.gsmarena.com/samsung_galaxy_tab_a_10_1_(2019)-9582.php,samsung tab a 10.1,22000,6,,5326
140,5476,0.11,223,100,https://www.gsmarena.com/motorola_moto_z2_play-8674.php,moto z2 play,6800,1,,8193
141,5469,0.11,1254,275,https://www.gsmarena.com/lg_nexus_5x-7556.php,nexus 5x,9400,2,,3150
142,5410,0.1,28,267,https://www.gsmarena.com/oneplus_8t-10420.php,oneplus 8t,24000,4,,3170
143,5351,0.1,198,90,https://www.gsmarena.com/motorola_moto_g5s_plus-8699.php,moto g5s plus,6300,1,,4
144,5301,0.1,810,468,https://www.gsmarena.com/lg_g3-6294.php,lg g3,6200,1,,6170
145,5295,0.1,638,73,https://www.gsmarena.com/motorola_droid_turbo_2-7713.php,motorola droid turbo 2,4200,1,,5459
146,5230,0.1,180,40,https://www.gsmarena.com/motorola_moto_e5_play-9175.php,moto e5 play,12000,1,,43
147,5215,0.1,38,64,https://www.gsmarena.com/samsung_galaxy_z_flip3_to_weigh_the_same_as_flip_5g__183g-news-49319.php,samsung fold,76000,3,Top stories,2181
148,5212,0.1,383,160,https://www.gsmarena.com/zte_axon_7-8067.php,zte axon 7,6200,1,,2433
149,5207,0.1,24,149,https://www.gsmarena.com/lg_velvet_5g-10209.php,lg velvet,34000,5,,18
150,5188,0.1,1137,356,https://www.gsmarena.com/lg_g4-6901.php,lg g4,8800,1,,8022
151,5183,0.1,1947,618,https://www.gsmarena.com/apple_iphone_5s-5685.php,iphone 5s,23000,4,,6940
152,5140,0.1,234,184,https://www.gsmarena.com/sony_xperia_z5-7534.php,sony xperia z5,4600,1,,2239
153,5080,0.1,29,163,https://www.gsmarena.com/huawei_p20_lite-9098.php,huawei p20 lite,12000,1,,0
154,5035,0.1,18,254,https://www.gsmarena.com/oneplus_7t_pro-9872.php,oneplus 7t pro,33000,2,,17
155,5025,0.1,629,197,https://www.gsmarena.com/samsung_galaxy_grand_prime-6708.php,samsung galaxy grand prime,5000,1,,3148
156,5015,0.1,97,217,https://www.gsmarena.com/huawei_mate_10_pro-8854.php,huawei mate 10 pro,7200,1,,907
157,4938,0.1,505,89,https://www.gsmarena.com/motorola_moto_z_play-8310.php,moto z play,6900,1,,7728
158,4913,0.1,1108,389,https://www.gsmarena.com/samsung_galaxy_s6_edge-7079.php,galaxy s6 edge,3400,1,,6850
